mouseid_session_phase_cue_date,Condition,#rewards,#entrances,RERatio,PTimeCenter,PTimeAnnulus,MeanSpeed,SESpeed,MeanTargSpeed,SETargSpeed,Speed2TargetR,SESpeed2TargetR,MeanX,SEX,MeanY,SEY,MeanScatX,SEScatX,MeanScatY,SEScatY,MeanAccScatX,SESAcccatX,MeanAccScatY,SESAcccatY,MeanPauseX,SEPauseX,MeanPauseY,SEPauseY,MeanScatPauseX,SEScatPauseX,MeanScatPauseY,SEScatPauseY,MeanAccPauseX,SESAccPauseX,MeanSAccPauseY,SESAccPauseY,MeanPauseAngle,SEPauseAngle,%TimeQuadNE,%TimeQuadNW,%TimeQuadSW,%TimeQuadSE,%TimeT1,%TimeT2,%TimeT3,%TimeT4,%GoalTime,%TimeG1NE,%TimeG2NW,%TimeG3SW,%TimeG4SE,FractalDimension
m56s17p12c_031725,,14,56,0.25,0.0069455,0.76217,7.7658,0.034018,7.8188,0.82535,16.0833,0.74542,71.1879,2.7855,77.1954,2.0312,8.8561,1.3138,8.8561,1.3138,14,14,14,14,202.7309,0.36392,60.543,0.82543,14,14,14,14,14,14,14,14,139.9647,0.47922,0.23957,0.24868,0.21953,0.29221,0.15228,0.50761,0.22335,0.15228,0.028263,0.0031857,0.018836,0.0078715,0.0062046,#N/A
m56s18p12c_032025,,10,41,0.24,0.011706,0.75562,8.218,0.035588,7.7236,0.71409,15.5141,1.0502,76.431,2.4769,72.7294,3.6162,6.1332,1.3984,6.1332,1.3984,10,10,10,10,197.2973,0.54189,52.7772,0.49884,10,10,10,10,10,10,10,10,132.8456,0.34033,0.27569,0.29191,0.18819,0.24422,0.41584,0.31683,0.31683,0.019802,0.023023,0.0087055,0.018893,0.0031858,0.012243,#N/A
m56s19p12c_032225,,21,51,0.41,0.002519,0.64296,5.3247,0.02821,7.0814,0.80115,12.2716,0.79849,75.8803,1.8619,80.9103,1.949,7.1151,0.96727,7.1151,0.96727,21,21,21,21,187.1551,0.59803,62.6878,0.77432,21,21,21,21,21,21,21,21,133.4343,0.52429,0.29113,0.38171,0.13929,0.18787,0.24208,0.19457,0.28959,0.28959,0.080387,0.014133,0.091889,0.0097057,0.0027598,#N/A
m56s19p12u_032225,,11,35,0.31,0.0082605,0.63587,5.672,0.02793,12.9836,1.3215,17.5765,0.68014,74.0527,1.7416,74.0569,2.0242,4.0188,1.1908,4.0188,1.1908,11,11,11,11,177.6223,0.66934,61.7888,0.81838,11,11,11,11,11,11,11,11,128.2597,0.6791,0.25043,0.27339,0.16554,0.31064,0.19672,0.55738,0.19672,0.10656,0.048692,0.0090569,0.037469,0.003445,0.026411,#N/A
m56s1p1c_123024,,57,61,0.93,0.40642,0.63376,6.8022,0.030567,15.1114,0.9213,10.9837,0.40224,175.1666,6.2707,79.0943,5.2633,42.5296,2.6499,42.5296,2.6499,57,57,57,57,178.6585,0.58397,85.2272,0.61432,57,57,57,57,57,57,57,57,142.5848,0.44458,0.26192,0.31947,0.22421,0.19439,0.00061538,0.35138,0.29877,0.35138,0.29997,0.34663,0.45756,0.35817,0.3881,#N/A
m56s20p13c_032425,,17,56,0.3,0.010743,0.70851,7.6923,0.034906,9.8996,0.78939,16.2751,0.62616,74.5298,1.5732,179.2001,2.1392,5.34,0.83233,5.34,0.83233,17,17,17,17,184.1322,0.87245,73.5929,0.67779,17,17,17,17,17,17,17,17,132.8387,0.699,0.24761,0.33502,0.21631,0.20106,0.12414,0.35862,0.3,0.24138,0.036656,0.0099652,0.021634,0.0092057,0.0044084,#N/A
m56s20p13u_032425,,9,24,0.38,0.0072974,0.65045,6.3294,0.028823,13.0045,1.289,NaN,NaN,80.8176,3.2625,177.8753,1.9809,7.5809,1.8601,7.5809,1.8601,9,9,9,9,180.9841,0.45297,59.3006,0.47571,9,9,9,9,9,9,9,9,128.0318,0.32908,0.33851,0.25083,0.21533,0.19533,0.2439,0.13415,0.2439,0.46341,0.020003,0.017614,0.019577,0.0099644,0.0050378,#N/A
m56s21p14c_033025,,17,64,0.27,0.010095,0.6266,8.0139,0.034236,9.1588,0.605,21.278,1.0354,177.838,2.2563,177.3304,2.1532,7.8535,1.1117,7.8535,1.1117,17,17,17,17,188.0511,0.42621,62.9698,0.43354,17,17,17,17,17,17,17,17,133.5472,0.3349,0.34348,0.33461,0.1234,0.19851,0.18276,0.35862,0.12414,0.35862,0.038805,0.0316,0.021208,0.0066867,0.014411,#N/A
m56s21p14u_033025,,12,38,0.32,0.010595,0.64551,6.4302,0.032269,15.0184,1.3285,17.5686,1.1344,172.5281,2.729,174.9692,2.8437,6.9237,1.7578,6.9237,1.7578,12,12,12,12,188.7787,0.42237,81.6564,0.54017,12,12,12,12,12,12,12,12,145.1262,0.41378,0.31906,0.24749,0.13767,0.29578,0.096552,0.67586,0.17931,0.096552,0.019374,0.018763,0.016207,0.0048713,0.014169,#N/A
M56s2p2c_123124,,27,36,0.75,0.085016,0.69944,3.7247,0.02137,8.9598,0.88552,12.4722,0.87398,189.4344,4.6399,69.7427,5.5037,21.1499,2.0795,21.1499,2.0795,27,27,27,27,177.0288,0.66242,65.492,0.68631,27,27,27,27,27,27,27,27,128.9838,0.45397,0.20467,0.28702,0.30706,0.20126,0.48356,0.076712,0.22466,0.22466,0.11623,0.10891,0.19505,0.069643,0.014095,#N/A
m56s3p3C_010324,,19,24,0.79,0.011335,0.73637,5.7936,0.025358,7.153,0.83744,11.9509,0.51053,186.6611,3.5655,67.0896,2.6187,13.1747,1.7522,13.1747,1.7522,19,19,19,19,191.0105,0.60228,54.4538,0.49024,19,19,19,19,19,19,19,19,130.3703,0.39851,0.17934,0.27013,0.29532,0.25522,0.53039,0.21547,0.058011,0.21547,0.021077,0.013798,0.037209,0.026818,0.010298,#N/A
m56s4p4c_010725,,19,33,0.58,0.013354,0.67822,6.6735,0.02788,4.1275,0.39059,12.7131,0.60778,177.0276,3.5557,73.5493,3.3155,13.021,1.7955,13.021,1.7955,19,19,19,19,186.3306,0.49084,58.5439,0.52026,19,19,19,19,19,19,19,19,130.9347,0.31974,0.27481,0.25564,0.22714,0.2424,0.37293,0.32044,0.26796,0.058011,0.027041,0.034134,0.023873,0.018984,0.0073343,#N/A
m56s5p5c_011025,,23,34,0.68,0.013207,0.69217,6.4879,0.030386,5.5462,0.59655,12.0162,0.61965,185.5329,2.9104,73.4892,2.9564,11.3588,1.6142,11.3588,1.6142,23,23,23,23,189.2466,0.52363,64.3913,0.53034,23,23,23,23,23,23,23,23,135.1843,0.37444,0.22604,0.28201,0.26151,0.23044,0.56792,0.13396,0.13396,0.17736,0.032397,0.02019,0.028525,0.033397,0.013059,#N/A
m56s6p6c_011325,,11,29,0.38,0.01204,0.78298,7.6702,0.031285,7.1761,0.78587,18.3475,0.78734,182.921,4.3241,79.4808,3.5739,11.6512,2.2633,11.6512,2.2633,11,11,11,11,186.3842,0.72211,58.5998,0.77806,11,11,11,11,11,11,11,11,129.2161,0.45849,0.20368,0.29957,0.27208,0.22467,0.37705,0.10656,0.19672,0.37705,0.016319,0.0090948,0.029359,0.0085206,0.0091133,#N/A
m56s7p6c_011425,,12,30,0.4,0.0188,0.76406,7.1178,0.031012,8.8393,1.0847,18.2925,0.35531,180.0705,4.4691,73.9264,3.9486,13.8582,1.5855,13.8582,1.5855,12,12,12,12,187.2172,0.91232,46.8985,0.57521,12,12,12,12,12,12,12,12,125.5438,0.59731,0.22157,0.27828,0.21721,0.28293,0.34483,0.17931,0.26207,0.26207,0.014411,0.01367,0.016022,0.014392,0.021171,#N/A
m56s8p6c_011525,,15,25,0.6,0.0090202,0.69626,6.1367,0.029572,5.5002,0.79881,13.7935,0.57493,177.474,3.9678,79.77,4.0979,12.8123,2.0045,12.8123,2.0045,15,15,15,15,185.5533,0.43161,59.3683,0.55688,15,15,15,15,15,15,15,15,132.0603,0.3825,0.31558,0.28968,0.16183,0.23291,0.27434,0.20796,0.27434,0.27434,0.025838,0.022115,0.02795,0.015799,0.012391,#N/A
m56s9p7c_011625,,4,25,0.16,0.015114,0.68468,6.0918,0.030101,7.4496,1.5884,NaN,NaN,174.3982,6.09,79.0484,7.5458,10.4332,0.8966,10.4332,0.8966,4,4,4,4,188.7926,0.40828,64.7066,0.49676,4,4,4,4,4,4,4,4,135.4906,0.35411,0.32099,0.25207,0.15768,0.26926,0.35294,0.35294,0.35294,0.35294,0.0096501,0.012521,0.012354,0.01028,0.0087796,#N/A
m57s10p10c_021925,,32,139,0.23,0.011262,0.58607,11.0538,0.036386,10.1766,0.43033,20.4367,0.51216,182.28,1.5154,179.2041,1.5021,7.5215,0.68669,7.5215,0.68669,32,32,32,32,190.0345,0.65917,63.6249,0.62018,32,32,32,32,32,32,32,32,134.3147,0.42378,0.26556,0.16737,0.16991,0.39716,0.15805,0.22049,0.12683,0.50146,0.072553,0.020931,0.0092798,0.010873,0.044102,#N/A
m57s10p10u_021925,,23,71,0.32,0.017208,0.5822,9.6411,0.035384,13.7985,0.62782,18.8232,0.40974,177.9199,1.9604,180.2221,1.8588,7.5555,1.1174,7.5555,1.1174,23,23,23,23,182.7237,0.57564,61.0843,0.71254,23,23,23,23,23,23,23,23,130.7275,0.52989,0.30893,0.18751,0.2114,0.29216,0.26415,0.13396,0.35094,0.26415,0.057051,0.01906,0.0081686,0.01054,0.018004,#N/A
